Бульвар Рокоссовского, 
Черкизовская, -9
Преображенская площадь, -8
Сокольники, -9
Красносельская, -8
Комсомольская, -8 -37
Красные ворота, -31
Чистые пруды, -35
Лубянка, -33
Охотный ряд, -15
Библиотека имени Ленина, -12
Кропоткинская, -13
Парк культуры, -11 -40
Фрунзенская, -42
Спортивная, -42
Воробьёвы горы, +10
Университет, -27
Проспект Вернадского, -8
Юго-Западная, -8
Речной вокзал, -6
Водный стадион, -6
Войковская, -7
Сокол, -10
Аэропорт, -10
Динамо, -40
Белорусская, -33 -43
Маяковская, -33
Тверская, -42
Театральная, -34
Новокузнецкая, -38
Павелецкая, -40 -34
Автозаводская, -11
Коломенская, -9
Каширская, -7
Кантемировская, -8
Царицыно, -8
Орехово, -9
Домодедовская, -10
Красногвардейская, -9
Щёлковская, -8
Первомайская, -7
Измайловская, 0
Партизанская, -9
Семёновская, -40
Электрозаводская, -32
Бауманская, -33
Курская, -40
Площадь Революции, -34
Арбатская, -41
Смоленская, -50
Киевская, -48
Парк Победы, -84
Славянский бульвар, -9
Кунцевская, 0
Молодёжная, -7
Крылатское, -10
Строгино, -8
Кунцевская, 0
Пионерская, 0
Филёвский парк, 0
Багратионовская, 0
Фили, 0
Кутузовская, 0
Студенческая, 0
Киевская, -9
Смоленская, -8
Арбатская, -8
Александровский сад, -7
Выставочная, -25
Международная, -25
Парк культуры, -11 -40
Октябрьская, -40
Добрынинская, -36
Павелецкая, -40
Таганская, -53
Курская, -40
Комсомольская, -37
Проспект Мира, -40
Новослободская, -40
Белорусская, -43
Краснопресненская, -36
Киевская, -48
Медведково, -10
Бабушкинская, -10
Свиблово, -8
Ботанический сад, -7
ВДНХ, -54
Алексеевская, -51
Рижская, -46
Проспект Мира, -50
Сухаревская, -43
Тургеневская, -49
Китай-город, -29
Третьяковская, -46
Октябрьская, -50
Шаболовская, -47
Ленинский проспект, -16
Академическая, -9
Профсоюзная, -7
Новые Черёмушки, -7
Калужская, -10
Беляево, -12
Коньково, -8
Теплый Стан, -8
Ясенево, -8
Новоясеневская, -7
Планерная, -6
Сходненская, -6
Тушинская, -11
Щукинская, -13
Октябрьское поле, -9
Полежаевская, -10
Беговая, -9
Улица 1905 года, -11
Баррикадная, -30
Пушкинская, -51
Кузнецкий мост, -40
Китай-город, -29
Таганская, -36
Пролетарская, -9
Волгоградский проспект, -8
Текстильщики, -13
Кузьминки, -8
Рязанский проспект, -6
Выхино, 0
Новогиреево, -9
Перово, -9
Шоссе Энтузиастов, -53
Авиамоторная, -53
Площадь Ильича, -46
Марксистская, -60
Третьяковская, -46
Алтуфьево, -9
Бибирево, -10
Отрадное, -9
Владыкино, -11
Петровско-Разумовская, -61
Тимирязевская, -64
Дмитровская, -59
Савёловская, -52
Менделеевская, -49
Цветной бульвар, -50
Чеховская, -62
Боровицкая, -47
Полянка, -37
Серпуховская, -43
Тульская, -10
Нагатинская, -14
Нагорная, -9
Нахимовский проспект, -10
Севастопольская, -13
Чертановская, -11
Южная, -10
Пражская, -10
Улица Академика Янгеля, -8
Аннино, -8
Бульвар Дмитрия Донского, -10
Трубная, -60
Сретенский бульвар, -60
Чкаловская, -31
Римская, -54
Крестьянская застава, -47
Дубровка, -62
Кожуховская, -12
Печатники, -8
Волжская, -8
Люблино, -8
Братиславская, -8
Марьино, -8
Каширская, -7
Варшавская, -9
Каховская, -8
Улица Старокачаловская, -10
Улица Скобелевская, +10
Бульвар Адмирала Ушакова, +10
Улица Горчакова, +10
Бунинская Аллея, +10
Мякинино, 0
Волоколамская, -14
Митино, -14
Марьина Роща, -60
Достоевская, -60
Борисово, -10
Шипиловская, -10
Зябликово, -15
Новокосино, -9
Алма-Атинская, -10
Пятницкое шоссе, -11
Лермонтовский проспект, -12
Жулебино, -15
Битцевский парк, -10
Лесопарковая, -10
Деловой центр, -30
Парк Победы, -84
